import time: self [us] | cumulative | imported package
import time:     12743 |      12743 |                     importlib._abc
import time:      3468 |      16211 |                   importlib.util
import time:     19400 |      35611 |                 zipfile
import time:       958 |        958 |                     importlib.metadata._functools
import time:      2353 |       3311 |                   importlib.metadata._text
import time:      8498 |      11808 |                 importlib.metadata._adapters
import time:      2436 |       2436 |                 importlib.metadata._meta
import time:      2698 |       2698 |                 importlib.metadata._collections
import time:      1336 |       1336 |                 importlib.metadata._itertools
import time:      7991 |       7991 |                 importlib.abc
import time:      6844 |      74845 |               importlib.metadata
import time:      1397 |      76241 |             pydantic.plugin._loader
import time:     53642 |     145633 |           fastapi.exceptions
import time:       908 |        908 |             fastapi.openapi
import time:      3479 |       3479 |                 fastapi.types
import time:     15870 |      15870 |                           anyio._core
import time:     10268 |      26138 |                         anyio._core._compat
import time:     10497 |      10497 |                             sniffio._version
import time:      1209 |       1209 |                             sniffio._impl
import time:     16916 |      28622 |                           sniffio
import time:      3679 |      32300 |                         anyio._core._eventloop
import time:      1784 |       1784 |                         anyio._core._exceptions
import time:      9937 |       9937 |                               anyio.abc._resources
import time:      2739 |       2739 |                                   anyio.abc._tasks
import time:      4875 |       7614 |                                 anyio._core._tasks
import time:      1211 |       1211 |                                 anyio._core._typedattr
import time:      6714 |       6714 |                                 anyio.abc._streams
import time:     49960 |      65497 |                               anyio.abc._sockets
import time:      1224 |       1224 |                               anyio.abc._subprocesses
import time:      2329 |       2329 |                               anyio.abc._testing
import time:      9175 |       9175 |                                 anyio.lowlevel
import time:      1298 |       1298 |                                 anyio._core._testing
import time:     20789 |      31261 |                               anyio._core._synchronization
import time:      4934 |       4934 |                                     _queue
import time:      3917 |       8850 |                                   queue
import time:      1291 |      10141 |                                 concurrent.futures.thread
import time:      2421 |      12561 |                               anyio.from_thread
import time:      3376 |     126182 |                             anyio.abc
import time:      1151 |     127332 |                           anyio.to_thread
import time:     30598 |     157930 |                         anyio._core._fileio
import time:     11186 |      11186 |                         anyio._core._resources
import time:      3094 |       3094 |                         anyio._core._signals
import time:      2219 |       2219 |                             anyio.streams
import time:     34165 |      36383 |                           anyio.streams.stapled
import time:      9959 |       9959 |                           anyio.streams.tls
import time:    180523 |     226864 |                         anyio._core._sockets
import time:      5360 |       5360 |                           anyio.streams.memory
import time:      1225 |       6585 |                         anyio._core._streams
import time:      2007 |       2007 |                         anyio._core._subprocesses
import time:     60346 |     528229 |                       anyio
import time:       105 |     528334 |                     anyio.to_thread
import time:      1766 |     530099 |                   starlette.concurrency
import time:      1409 |       1409 |                   starlette.types
import time:      4414 |     535921 |                 starlette.datastructures
import time:      2948 |     542346 |               fastapi._compat.shared
import time:      1037 |       1037 |                 fastapi.openapi.constants
import time:      7634 |       8670 |               fastapi._compat.v2
import time:      1514 |     552529 |             fastapi._compat
import time:      1033 |       1033 |             fastapi.logger
import time:       324 |        324 |             email_validator
import time:   4928298 |    5483092 |           fastapi.openapi.models
import time:    285801 |    5914525 |         fastapi.params
import time:      4920 |       4920 |         fastapi.datastructures
import time:     12605 |      12605 |           fastapi.dependencies
import time:      2728 |       2728 |                 fastapi.security.base
import time:     11441 |      11441 |                   http.cookies
import time:      2587 |       2587 |                         exceptiongroup._exceptions
import time:      2097 |       4684 |                       exceptiongroup._catch
import time:       874 |        874 |                       exceptiongroup._version
import time:      5508 |       5508 |                       exceptiongroup._formatting
import time:      2120 |       2120 |                       exceptiongroup._suppress
import time:      2523 |      15706 |                     exceptiongroup
import time:      2504 |      18210 |                   starlette._utils
import time:      1158 |       1158 |                           python_multipart.exceptions
import time:      2110 |       3268 |                         python_multipart.decoders
import time:      6285 |       9553 |                       python_multipart.multipart
import time:      1278 |      10831 |                     python_multipart
import time:      5164 |      15994 |                   starlette.formparsers
import time:      2560 |      48202 |                 starlette.requests
import time:      6810 |      57740 |               fastapi.security.api_key
import time:       982 |        982 |                 fastapi.security.utils
import time:      6634 |       7615 |               fastapi.security.http
import time:      8503 |       8503 |                 fastapi.param_functions
import time:      5327 |      13830 |               fastapi.security.oauth2
import time:     87371 |      87371 |               fastapi.security.open_id_connect_url
import time:      2671 |     169225 |             fastapi.security
import time:       114 |     169339 |           fastapi.security.base
import time:      8593 |     190536 |         fastapi.dependencies.models
import time:      1477 |       1477 |             starlette.background
import time:      3463 |       4939 |           fastapi.background
import time:       986 |        986 |           fastapi.concurrency
import time:      1453 |       1453 |           fastapi.utils
import time:      5106 |       5106 |               _winapi
import time:       441 |        441 |               winreg
import time:     15645 |      21191 |             mimetypes
import time:     32241 |      53432 |           starlette.responses
import time:      5023 |       5023 |           starlette.websockets
import time:     16226 |      82057 |         fastapi.dependencies.utils
import time:      2754 |       2754 |             colorsys
import time:      9218 |      11971 |           pydantic.color
import time:      7001 |      18972 |         fastapi.encoders
import time:      1216 |       1216 |           starlette._exception_handler
import time:      5665 |       5665 |           starlette.convertors
import time:      5325 |       5325 |           starlette.middleware
import time:      4324 |      16528 |         starlette.routing
import time:     31825 |    6310716 |       fastapi.routing
import time:      1779 |       1779 |         fastapi.websockets
import time:      9328 |      11106 |       fastapi.exception_handlers
import time:      1687 |       1687 |         fastapi.middleware
import time:      3482 |       5168 |       fastapi.middleware.asyncexitstack
import time:      3069 |       3069 |       fastapi.openapi.docs
import time:      8237 |       8237 |             email.feedparser
import time:      5437 |      13673 |           email.parser
import time:      5289 |      18962 |         http.client
import time:       519 |        519 |           ujson
import time:      2327 |       2327 |           orjson
import time:    114824 |     117669 |         fastapi.responses
